,node_id,value,type
69383,69383,dowlingmaitland.com.au,benign
69537,69537,virtualloansassistant.com.au,benign
69602,69602,www.benita.ca,benign
69614,69614,ee-billings-update.com,malicious
69623,69623,movimentodespertar.com.br,benign
69753,69753,tpmwztools.cf,malicious
69779,69779,ww1.sistemaganarlaloteria.org,benign
69853,69853,www.adeusdiabetes.com.br,benign
69864,69864,webmail.pagespersoorange.fr,malicious
69886,69886,royaltech.ca,benign
69905,69905,naatzflix.com.br,benign
69925,69925,usbsmaisbella.com.br,malicious
69966,69966,icloud.com.in-ip.icu,benign
69978,69978,choicehumanitarianbolivia.org.bo,benign
70090,70090,v2.rappi.com.br,benign
70107,70107,mercyhuby.com,malicious
70129,70129,www.fabriqueavenir.fr,benign
70216,70216,www.universitaperrifugiati.it,benign
70230,70230,bluraytorrent.com.br,benign
70240,70240,devicerepairs.com.au,benign
70280,70280,www.andekapka.radio.am,benign
70302,70302,rastadikk.tv,benign
70303,70303,deamazonia.com.br,benign
70318,70318,restore-activity.com,malicious
70321,70321,autec.cc,benign
70355,70355,jayaburger.com.br,benign
70380,70380,brafton.com.au,benign
70384,70384,plantecb2b.com.br,benign
70394,70394,821kateslane.com,malicious
70466,70466,safetgjici.al,malicious
70502,70502,sigap-lupita.xyz,malicious
70606,70606,cpcalendars.rechargedz.cf,malicious
70612,70612,hs.digital-rectify.com,malicious
70620,70620,enjusearch.enjoei.com.br,benign
70623,70623,www.rietendakendekkers.be,malicious
70637,70637,cfcpapaleguas.com.br,malicious
70651,70651,kraken.com.co,malicious
70701,70701,mail.suame.com.co,malicious
70705,70705,ogantareso.cf,malicious
70749,70749,www.fan888.club,benign
70769,70769,www.pbdxyotzd.cam,benign
70815,70815,www.nutritionplus.com.au,benign
70867,70867,kansai-tosho.co.jp,benign
70882,70882,buchstream.cf,malicious
70912,70912,referadeal.co.uk,benign
70924,70924,kevinelias.com.au,benign
70996,70996,branding.bambora.com.au,benign
70997,70997,rschiffer.com,malicious
71009,71009,banner.vdo.ai,benign
71033,71033,images.prod.hulu.jp,benign
71042,71042,teraspire.com,malicious
71060,71060,time.salto.fr,benign
71159,71159,qkly.me,benign
71178,71178,meanwhileinoz.com.au,benign
71212,71212,www.theaterfestivalblog.be,malicious
71216,71216,jooj.cf,benign
71287,71287,viatomen.cf,malicious
71319,71319,forms.stampede.ai,benign
71342,71342,eyedesignstudio.nectardesk.io,benign
71504,71504,sanctuaireloups.org,malicious
71507,71507,arintomy.cf,malicious
71575,71575,datasync-mcd.ch,malicious
71592,71592,savvyitsols.studentcorner.co.in,benign
71623,71623,webdisk.cryptoforex.ai,benign
71627,71627,ivts-238m.web-flutter-invictus.evoyageurs-dev.aws.vsct.fr,benign
71630,71630,aimeelamour.com,malicious
71658,71658,portalvegetariano.com.br,benign
71681,71681,www.halifax.auth-new-payee.link,malicious
71688,71688,sato-picardie.fr,malicious
71704,71704,static.esteticas.com.ar,benign
71763,71763,www.stagingrentals.com.au,benign
71778,71778,fix.ac,malicious
71788,71788,panel.csbw.cc,malicious
71789,71789,sms-neuerung-spkkonto.xyz,malicious
71804,71804,arcsa.xyz,malicious
71806,71806,burstmarketing.ca,malicious
71819,71819,cymsa.com.ar,benign
71830,71830,tokyo2021olympic.com,malicious
71858,71858,downloads.ashtonturner.com.au,benign
71882,71882,parcelify.co,malicious
71914,71914,portalminassaude.com.br,malicious
71946,71946,armybrat.com,malicious
71969,71969,beursbrussel.be,benign
71977,71977,busca-cep.olx.com.br,benign
72021,72021,motionstory.com.au,benign
72044,72044,my.salvos.org.au,benign
72053,72053,pheonix-le.cf,malicious
72058,72058,republicarock.com.br,benign
72075,72075,dan.ai,benign
72077,72077,gostocaseiro.com.br,benign
72083,72083,mail.vitole.com.co,malicious
72152,72152,help-instagram-verified-badge-supporrt.tk.assistance-center-portal.com,malicious
72172,72172,artesanacartonagem.com.br,benign
72271,72271,ecogamma.be,benign
72380,72380,editorialedomani.it,malicious
72435,72435,seminovoslocamerica.com.br,benign
72448,72448,www.somochilas.com.br,benign
72518,72518,smtp.americasports.com.br,benign
72530,72530,volpecomercial.com.br,benign
72606,72606,saugatuckcuresmovie.com,malicious
72708,72708,midlandgatesc.com.au,benign
72719,72719,simex.com.bd,benign
72729,72729,formingtubing.com.br,benign
72784,72784,api-site.atletico.com.br,benign
72816,72816,stessensvloerentegelwerken.be,benign
72823,72823,www.jorgelfdias.com.br,benign
72830,72830,assetguy.com,malicious
72832,72832,mail.goratools.co,malicious
72936,72936,www.jb.com.br,benign
72987,72987,moradadamemoria.com.br,benign
72994,72994,gencorner.xyz,malicious
73028,73028,auth.outlawz.cc,malicious
