source,target,type
327685,283816,apex
79480,249911,apex
112239,182148,apex
112220,90659,apex
79437,290148,apex
210500,321850,apex
308715,156022,apex
308715,92157,apex
308715,153254,apex
275938,219395,apex
275938,90716,apex
275938,219926,apex
275938,186955,apex
275938,250290,apex
275936,314497,apex
275936,291196,apex
243166,228071,apex
79293,210500,apex
275864,150299,apex
177449,89759,apex
177449,93656,apex
275752,125242,apex
79505,221127,apex
79505,316419,apex
79505,191458,apex
145068,313833,apex
145478,222432,apex
309305,248382,apex
309266,251992,apex
79889,325798,apex
243724,285954,apex
79821,191205,apex
112583,282465,apex
178065,192617,apex
145295,294302,apex
145295,184560,apex
79118,161270,apex
177991,181339,apex
112445,85947,apex
112445,97460,apex
145204,213180,apex
79655,87838,apex
79629,86446,apex
210679,196165,apex
145137,255314,apex
145127,79742,apex
308951,89569,apex
177848,325496,apex
112445,160676,apex
308470,276938,apex
144622,282133,apex
111849,157872,apex
275071,319814,apex
307812,283135,apex
242245,260884,apex
242245,283218,apex
242245,213276,apex
242245,227526,apex
242245,223668,apex
242245,148444,apex
242245,123336,apex
242245,209521,apex
111255,228215,apex
307781,125353,apex
242244,254626,apex
242244,282742,apex
307771,227920,apex
78381,257717,apex
111144,187940,apex
111144,321246,apex
111144,90776,apex
111144,92296,apex
274966,127435,apex
111097,211017,apex
242244,78507,apex
145478,322010,apex
209648,288670,apex
209737,157385,apex
111844,177848,apex
275681,256099,apex
275665,113938,apex
177318,311227,apex
111779,319988,apex
111746,224193,apex
210038,211017,apex
78954,149471,apex
177239,88207,apex
275534,163328,apex
176908,127314,apex
275533,247252,apex
111691,259358,apex
111679,327662,apex
209978,80243,apex
242719,112841,apex
111629,146283,apex
308236,245059,apex
275419,289551,apex
275409,217788,apex
144329,309597,apex
275336,117608,apex
275533,279840,apex
211017,158768,apex
211017,128882,apex
211039,317630,apex
81362,260864,apex
179653,125362,apex
179653,292214,apex
179636,127435,apex
179632,227421,apex
277899,256174,apex
114028,157241,apex
310617,126964,apex
245059,158072,apex
81218,316920,apex
114131,115648,apex
81214,195784,apex
245043,180115,apex
277789,148595,apex
245017,116598,apex
179481,281855,apex
277750,218810,apex
113907,123364,apex
212125,123925,apex
277635,192081,apex
80982,245715,apex
113711,179656,apex
81204,246351,apex
310266,316057,apex
277993,122083,apex
81489,157385,apex
81927,153741,apex
81901,320860,apex
278466,148390,apex
311213,151253,apex
278441,226982,apex
212895,228812,apex
180116,90099,apex
147294,253790,apex
147294,255695,apex
278339,319599,apex
81431,189424,apex
114480,313705,apex
147231,252093,apex
245536,278994,apex
114436,88536,apex
245497,152821,apex
81641,286754,apex
114356,127435,apex
245421,147290,apex
179867,125938,apex
179867,252947,apex
179862,249689,apex
147244,180663,apex
307666,163093,apex
179193,125791,apex
179193,317503,apex
80392,162116,apex
145920,281245,apex
276991,187898,apex
80377,162706,apex
211353,190790,apex
145791,188106,apex
80243,96888,apex
80243,292373,apex
244077,187489,apex
309597,315268,apex
80429,182018,apex
309597,283036,apex
309597,130406,apex
309597,118384,apex
309590,325798,apex
211280,152158,apex
276754,96319,apex
211210,152821,apex
145653,252093,apex
309444,218298,apex
243911,223049,apex
211084,80866,apex
309597,251590,apex
179193,87241,apex
244280,281095,apex
80487,183504,apex
179193,190425,apex
244712,216480,apex
179176,91967,apex
211933,160656,apex
277413,158536,apex
146319,319988,apex
310144,293208,apex
244580,249815,apex
80744,187801,apex
179028,318800,apex
309843,250828,apex
211795,213626,apex
113399,159103,apex
244441,225866,apex
211664,247564,apex
244383,260460,apex
146045,327216,apex
244331,190790,apex
80487,196580,apex
80487,214169,apex
80487,147591,apex
80487,189089,apex
310078,249196,apex
176574,251349,apex
143776,146951,apex
274836,224407,apex
240250,305988,apex
109167,213016,apex
141900,227378,apex
109129,225327,apex
76336,177848,apex
240164,220924,apex
76261,146271,apex
272864,217624,apex
109013,129061,apex
